Item ID,Item Name,userid,shopid,shop_name,Main Category,Sub Category,Level3 Category,username,Item GMV,Total Placed Order
"5322974414","【美國代購】Instant Pot Ultra Mini 10-in-1 壓力鍋【美國熱銷】3 Quart","122622358","122620534","Shopping.EJB - 翼洲豹代購","Home Electronic","Kitchen Appliances","Pressure Cooker","shopping.ejb","20940.0","3"
"3604657837","SONOS move 【son01】","7443671","7442378","ai tec 智瑞科技","Home Electronic","Steroes and Speakers","Subwoofer","ai_tec","13880.0","1"
"1602893070","Philips 飛利浦三刀頭刮鬍刀 S5130 全水洗電動刮鬍刀（荷蘭原裝進口）Series S5130","6406378","6405066","遙控大熊-星期一到五天天寄","Home Electronic","Beauty Appliances","Shavers","bbearcc2","59230.0","41"
"2126780897","【全新現貨不用等】10人份大同電鍋 TAC-10L DCG 綠 電鍋 不繡鋼 公司貨","15258238","15256902","◆ 來 敗 本 舖・ＬｉＦｅＢｕＹ ◆","Home Electronic","Kitchen Appliances","Electric Rice Cooker & Cooking Pot","maceo4987","11120.0","6"
"233834588","TH-43HX750W 另售TH-43GX750W/43UN7300PWC/UA43TU8000/KD-43X7000G","2558331","2557052","SAMSUNG730530","Home Electronic","TVs","30-50 Inches","hometzuming7373","13100.0","1"
"965355108","SAMPO聲寶空氣清淨除濕機 AD-WA712T","4858393","4857103","吉利聯合","Home Electronic","Household Appliances","Dehumidifier","ms0398218","14640.0","3"
"1597691216","🔥Z1智能投影機 手機投影儀/無須電源投影機/家庭娛樂/放大鏡/免安裝投影器/微型投影","20254056","20252720","天天都賣。 主打星：投影機","Home Electronic","Audio Visual Equipment","Curtain & Projector","a0930128138","17000.0","1"
"6023547865","「新品上市」山水氣炸烤箱SAF-553W(黑/白)一台破盤大特價4500元，只到5/15號喔","19673881","19672545","lazycatty","Home Electronic","Kitchen Appliances","Fryer","lazycatty","17500.0","4"
"1142596826","黑色鬼齒最後現貨~FUJI ROYAL 小富士DX R-220 磨豆機 小型高性能 咖啡行家必備","68634735","68633278","母親節特賣開跑","Home Electronic","Kitchen Appliances","Coffee Machine","superoutletking","15299.0","1"
"7202147810","【免運  可貨到付款】畜牧蚊香金典棒香驅蚊 畜牧獸用蚊香  家禽養殖場","159269927","159267895","百貨❤舒心購","Home Electronic","Household Appliances","Mosquito Nest","iop45645","78544.0","60"
"1330630616","【台灣售權2年保固 當天秒出】 電腦 手機 遊戲 美音秀秀 P600 手機 電腦聲卡 錄音直播 IOS直播邊衝電","65652232","65650779","台灣維修保固 利聲電子直播 光華商場合作店家  專人1對1服務 近40年老店","Home Electronic","Audio Visual Equipment","Microphone","elsonkuo1104","25636.0","6"
"1669393497","怡悅HEPA抗菌濾心/濾網  適用Coway AP1009 AP1008 AP1010 Ap1009CH空氣清淨機","5454964","5453670","怡悅健康生活館","Home Electronic","Household Appliances","Air Purifier","yera8888","118751.75973003925","158"
"1246489371","【嚴選電玩】現貨 GIEC/杰科 BDP-G5300 真4K UHD 支援杜比 HDR 藍光撥放器 藍光機","74591041","74589571","s930079","Home Electronic","Audio Visual Equipment","DVD Player","s930079","39960.0","4"
"1932620305","現貨【日本厝內】唯一日本製 附中文說明書 Panasonic  EH-2862P 蒸氣足浴機 遠紅外線功能 泡腳機 紓壓","85167038","85165561","日本厝內-日本家電代購專區","Home Electronic","Beauty Appliances","Foot Baths & Spas","harries0727","100660.0","9"
"5110179369","日立8公升定時除濕機RD-16FQ/RD-16FR 廠商直送 現貨","111394257","111392667","蝦皮免運直送","Home Electronic","Household Appliances","Dehumidifier","outsourcing_24h","21932.0","3"
"1851001127","KOLIN 歌林 烘焙專用攪拌器 KJE-KYR522","10134913","10133616","元元生活家電館","Home Electronic","Kitchen Appliances","Food Processor","buy_here007","32428.0","8"
"2177555427","5折!可打麵糰(夠強/夠粗)麵團大師DaHe手持立式攪拌器麵糰機(TM-6108)304不鏽鋼攪【鍋寶】HA-3018","6266808","6265499","wiser智慧家","Home Electronic","Kitchen Appliances","Food Processor","cct0723","17774.0","17"
"5118170087","【專速】P-31MJRC 適用 PJ-37MRF,PJ-31MRF,PJ-30MRF,PJ-U31MR國際牌 淨水器濾心","2954203","2952827","google.01","Home Electronic","Kitchen Appliances","Water Device","google.01","13560.461538461539","7"
"695175523","【快速出貨】盛竹如熱情推薦- LAPOLO微電腦加熱豪華高桶泡腳機 ESF-H9500 (1年保固)","6121117","6119810","瑞瑞3C電器專賣店","Home Electronic","Beauty Appliances","Electric Massager","liketty","69520.0","37"
"338492919","家電大師 金展輝 16吋360度旋轉立扇 八方吹超廣角 A-1611  (一件以上請聊聊詢問運費)","2547581","2546302","~家電大師~","Home Electronic","Seasonal Appliance","Fan-AC","ab778530","11545.0","17"
"5208927211","【現貨免運】-定時 紫外線消毒 臭氧 消毒 口罩 消毒工具 手機 內褲 台灣110V","202097157","202093991","美容 美髮 生活用品","Home Electronic","Beauty Appliances","Electronic Face Cleansing Brush","a0905008163","50992.37736943774","28"
"2494392875","石頭機 掃地機器人 小米 追覓 手持吸塵器 小米有品 收納架 吸塵器 吸塵器架 掃地機 無線吸塵器 V9P Lite","5983900","5982595","這家子家居  (MIT台灣設計製造生產)","Home Electronic","Household Appliances","Robot Vaccum","alex0919","78320.0","44"
